Entity,Year,"Share of fish stocks within biologically sustainable levels (FAO, 2020)",Share of fish stocks that are overexploited,Code,Capture fisheries production (metric tons),"Fish, Seafood- Food supply quantity (kg/capita/yr) (FAO, 2020)",Industrial (large-scale commercial),Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes
Jordan,1984,,,JOR,102.0,3.97,70609012.0,130.0
Kenya,1984,,,KEN,91127.0,4.8,70609012.0,84960.0
Kiribati,1984,,,KIR,19380.0,68.79,70609012.0,34.0
Kuwait,1984,,,KWT,9639.0,14.9,70609012.0,253.0
Kyrgyzstan,1984,,,KGZ,,,70609012.0,
Laos,1984,,,LAO,23500.0,7.27,70609012.0,26000.0
Late-demographic dividend,1984,,,,17736642.6992188,,70609012.0,
Latin America & Caribbean,1984,,,,12282262.2382813,,70609012.0,
Latin America & Caribbean (IDA & IBRD),1984,,,,12064311.875,,70609012.0,
Latin America & Caribbean (excluding high income),1984,,,,7188555.171875,,70609012.0,
Least developed countries: UN classification,1984,,,,3120558.73828125,,70609012.0,
Lebanon,1984,,,LBN,1200.0,0.56,70609012.0,300.0
Lesotho,1984,,,LSO,0.0,2.35,70609012.0,13.0
Liberia,1984,,,LBR,14650.0,17.42,70609012.0,4100.0
Libya,1984,,,LBY,11979.775390625,,70609012.0,
Liechtenstein,1984,,,LIE,0.0,,70609012.0,
Low & middle income,1984,,,,28374004.206543,,70609012.0,
Low income,1984,,,,1666062.39599609,,70609012.0,
Lower middle income,1984,,,,11042970.4257813,,70609012.0,
Luxembourg,1984,,,LUX,0.0,,70609012.0,
Macao,1984,,,MAC,8800.0,36.91,70609012.0,
Madagascar,1984,,,MDG,67428.0,6.52,70609012.0,32500.0
Malawi,1984,,,MWI,64945.0,9.26,70609012.0,65064.0
Malaysia,1984,,,MYS,735024.375,47.55,70609012.0,13085.0
Maldives,1984,,,MDV,56081.0,145.66,70609012.0,
Mali,1984,,,MLI,54708.0,7.39,70609012.0,54711.0
Malta,1984,,,MLT,1226.0,11.92,70609012.0,0.0
Marshall Islands,1984,,,MHL,200.0,,70609012.0,
Mauritania,1984,,,MRT,57676.0,9.38,70609012.0,6000.0
Mauritius,1984,,,MUS,10346.0,14.62,70609012.0,1.0
Mexico,1984,,,MEX,1127538.875,9.76,70609012.0,100851.0
Micronesia (country),1984,,,FSM,1777.0,,70609012.0,
Middle East & North Africa,1984,,,,1197100.85888672,,70609012.0,
Middle East & North Africa (IDA & IBRD),1984,,,,948127.858886719,,70609012.0,
Middle East & North Africa (excluding high income),1984,,,,948127.858886719,,70609012.0,
Middle income,1984,,,,26707941.8105469,,70609012.0,
Monaco,1984,,,MCO,2.0,,70609012.0,
Mongolia,1984,,,MNG,370.0,1.19,70609012.0,370.0
Morocco,1984,,,MAR,472646.09375,7.55,70609012.0,1645.0
Mozambique,1984,,,MOZ,34947.0,3.43,70609012.0,3500.0
Myanmar,1984,,,MMR,609740.0,13.98,70609012.0,147954.0
Namibia,1984,,,NAM,12900.0,10.79,70609012.0,400.0
Nauru,1984,,,NRU,150.0,,70609012.0,
Nepal,1984,,,NPL,2863.0,0.31,70609012.0,4860.0
Netherlands,1984,,,NLD,435742.0,12.43,70609012.0,4022.0
New Caledonia,1984,,,NCL,3670.0,16.7,70609012.0,
New Zealand,1984,,,NZL,208002.0,16.85,70609012.0,1882.0
Nicaragua,1984,,,NIC,4339.0,0.82,70609012.0,121.0
Niger,1984,,,NER,2991.0,0.5,70609012.0,3000.0
Nigeria,1984,,,NGA,257414.0,8.79,70609012.0,110429.0
North America,1984,,,,6103062.0,,70609012.0,
North Korea,1984,,,PRK,752000.0,34.41,70609012.0,62800.0
Northern Mariana Islands,1984,,,MNP,345.0,,70609012.0,
Norway,1984,,,NOR,2588549.0,41.84,70609012.0,27060.0
OECD members,1984,,,,38697743.515625,,70609012.0,
Oman,1984,,,OMN,105200.0,,70609012.0,
Other small states,1984,,,,1716694.0,,70609012.0,
Pacific island small states,1984,,,,106879.73828125,,70609012.0,
Pakistan,1984,,,PAK,363514.0,1.92,70609012.0,73005.0
Palau,1984,,,PLW,1037.0,,70609012.0,
Palestine,1984,,,PSE,,,70609012.0,
Panama,1984,,,PAN,133507.0,9.91,70609012.0,123.0
Papua New Guinea,1984,,,PNG,44076.0,,70609012.0,
Paraguay,1984,,,PRY,5000.0,1.53,70609012.0,5000.0
Peru,1984,,,PER,3317428.0,17.51,70609012.0,30538.0
Philippines,1984,,,PHL,1604856.0,35.32,70609012.0,365608.0
Poland,1984,,,POL,700369.0,13.94,70609012.0,37983.0
Portugal,1984,,,PRT,305309.0,44.27,70609012.0,823.0
Post-demographic dividend,1984,,,,30283661.4746094,,70609012.0,
Pre-demographic dividend,1984,,,,2186101.0,,70609012.0,
Puerto Rico,1984,,,PRI,2354.0,,70609012.0,
Qatar,1984,,,QAT,3173.0,,70609012.0,
Romania,1984,,,ROU,187333.0,8.65,70609012.0,56802.0
Russia,1984,,,RUS,,,70609012.0,
Rwanda,1984,,,RWA,786.0,0.21,70609012.0,825.0
Saint Kitts and Nevis,1984,,,KNA,1115.0,40.82,70609012.0,0.0
Saint Lucia,1984,,,LCA,946.0,18.68,70609012.0,0.0
Saint Vincent and the Grenadines,1984,,,VCT,480.0,11.54,70609012.0,0.0
Samoa,1984,,,WSM,3720.0,40.37,70609012.0,0.0
San Marino,1984,,,SMR,0.0,,70609012.0,
Sao Tome and Principe,1984,,,STP,4444.0,43.57,70609012.0,
Saudi Arabia,1984,,,SAU,38490.0,8.47,70609012.0,0.0
Senegal,1984,,,SEN,250320.0,21.45,70609012.0,20878.0
Seychelles,1984,,,SYC,3734.0,,70609012.0,
Sierra Leone,1984,,,SLE,51667.0,17.13,70609012.0,17095.0
Singapore,1984,,,SGP,25140.599609375,,70609012.0,
Small states,1984,,,,1982788.8046875,,70609012.0,
Solomon Islands,1984,,,SLB,48801.73828125,54.38,70609012.0,0.0
Somalia,1984,,,SOM,19939.0,,70609012.0,
South Africa,1984,,,ZAF,785094.0,9.04,70609012.0,1150.0
South Asia,1984,,,,3521540.0,,70609012.0,
South Asia (IDA & IBRD),1984,,,,3521540.0,,70609012.0,
South Korea,1984,,,KOR,2229202.0,46.43,70609012.0,45725.0
Spain,1984,,,ESP,1194527.5,32.77,70609012.0,23489.0
Sri Lanka,1984,,,LKA,162462.0,14.88,70609012.0,27605.0
Sub-Saharan Africa,1984,,,,3309533.0,,70609012.0,
Sub-Saharan Africa (IDA & IBRD),1984,,,,3309533.0,,70609012.0,
Sub-Saharan Africa (excluding high income),1984,,,,3305799.0,,70609012.0,
Sudan,1984,,,SDN,29780.0,,70609012.0,
Suriname,1984,,,SUR,5095.0,8.22,70609012.0,145.0
Sweden,1984,,,SWE,271353.0,25.98,70609012.0,7876.0
Switzerland,1984,,,CHE,3841.0,10.44,70609012.0,4113.0
Syria,1984,,,SYR,3360.39599609375,,70609012.0,
Tanzania,1984,,,TZA,280894.0,13.06,70609012.0,237318.0
Thailand,1984,,,THA,2028329.0,19.95,70609012.0,159013.0
Timor,1984,,,TLS,,0.0,70609012.0,0.0
Togo,1984,,,TGO,14675.0,9.55,70609012.0,3562.0
Tonga,1984,,,TON,2385.0,,70609012.0,
Trinidad and Tobago,1984,,,TTO,3764.0,16.27,70609012.0,0.0
Tunisia,1984,,,TUN,75739.1640625,9.73,70609012.0,398.0
Turkey,1984,,,TUR,566942.0625,6.28,70609012.0,38678.0
Turks and Caicos Islands,1984,,,TCA,3547.0,,70609012.0,
Tuvalu,1984,,,TUV,840.0,,70609012.0,
Uganda,1984,,,UGA,212300.0,14.97,70609012.0,212331.0
Ukraine,1984,,,UKR,0.0,,70609012.0,
United Arab Emirates,1984,,,ARE,72716.0,21.73,70609012.0,24.0
United Kingdom,1984,,,GBR,827712.0,17.64,70609012.0,18828.0
United States,1984,,,USA,4763710.0,19.16,70609012.0,550564.0
United States Virgin Islands,1984,,,VIR,697.0,,70609012.0,
Upper middle income,1984,,,,15664971.3847656,,70609012.0,
Uruguay,1984,,,URY,140039.0,3.49,70609012.0,435.0
Uzbekistan,1984,,,UZB,,,70609012.0,
Vanuatu,1984,,,VUT,2956.0,37.07,70609012.0,0.0
Venezuela,1984,,,VEN,259432.0,12.41,70609012.0,21604.0
Vietnam,1984,,,VNM,658308.0,12.04,70609012.0,223279.0
World,1984,,,OWID_WRL,77654923.412,12.28,70609012.0,10252513.0
Yemen,1984,,,YEM,64273.0,6.09,70609012.0,
Zambia,1984,,,ZMB,65555.0,10.27,70609012.0,65895.0
Zimbabwe,1984,,,ZWE,16277.0,2.0,70609012.0,16409.0
Africa,1984,,,,,7.85,70609012.0,1327160.0
Americas,1984,,,,,12.56,70609012.0,1102151.0
Asia,1984,,,,,10.49,70609012.0,6216382.0
Australia & New Zealand,1984,,,,,16.89,70609012.0,6367.0
Belgium-Luxembourg,1984,,,,,19.55,70609012.0,310.0
Caribbean,1984,,,,,12.24,70609012.0,16932.0
Central America,1984,,,,,7.9,70609012.0,103312.0
Czechoslovakia,1984,,,OWID_CZS,,5.58,70609012.0,23188.0
Eastern Africa,1984,,,,,5.68,70609012.0,722503.0
Eastern Asia,1984,,,,,14.08,70609012.0,2787063.0
Eastern Europe,1984,,,,,23.82,70609012.0,1236977.0
Ethiopia PDR,1984,,,,,0.09,70609012.0,3700.0
Europe,1984,,,,,21.23,70609012.0,1600265.0
"Europe, Western",1984,,,,,16.28,70609012.0,95050.0
Land Locked Developing Countries,1984,,,,,4.39,70609012.0,531626.0
Least Developed Countries,1984,,,,,7.34,70609012.0,1736646.0
Low Income Food Deficit Countries,1984,,,,,4.94,70609012.0,2976837.0
Melanesia,1984,,,OWID_MNS,,37.72,70609012.0,154.0
Micronesia (region),1984,,,,,68.79,70609012.0,34.0
Middle Africa,1984,,,,,16.36,70609012.0,106440.0
Net Food Importing Developing Countries,1984,,,,,7.39,70609012.0,2153657.0
Netherlands Antilles,1984,,,ANT,,29.31,70609012.0,
Northern Africa,1984,,,,,5.24,70609012.0,164555.0
Northern America,1984,,,,,19.13,70609012.0,651645.0
Northern Europe,1984,,,,,20.46,70609012.0,168291.0
Oceania,1984,,,,,18.64,70609012.0,6555.0
Polynesia,1984,,,OWID_PYA,,37.44,70609012.0,0.0
Small island developing States,1984,,,,,14.73,70609012.0,18132.0
South America,1984,,,,,7.77,70609012.0,330262.0
South Eastern Asia,1984,,,,,18.37,70609012.0,1496922.0
Southern Africa,1984,,,,,8.48,70609012.0,3153.0
Southern Asia,1984,,,,,3.62,70609012.0,1864511.0
Southern Europe,1984,,,,,20.95,70609012.0,99947.0
Sudan (former),1984,,,,,1.27,70609012.0,28462.0
Taiwan,1984,,,TWN,,35.86,70609012.0,159995.0
USSR,1984,,,OWID_USS,,28.63,70609012.0,1064153.0
Western Africa,1984,,,,,10.31,70609012.0,330509.0
Western Asia,1984,,,,,6.31,70609012.0,67886.0
Yugoslavia,1984,,,OWID_YGS,,3.68,70609012.0,25242.0
Afghanistan,1986,,,AFG,800.0,0.09,78606140.0,970.0
Africa Eastern and Southern,1986,,,,2107686.0,,78606140.0,
Africa Western and Central,1986,,,,1475547.0,,78606140.0,
Albania,1986,,,ALB,9757.2001953125,2.88,78606140.0,3196.0
Algeria,1986,,,DZA,65261.80078125,3.57,78606140.0,204.0
American Samoa,1986,,,ASM,181.0,,78606140.0,
Andorra,1986,,,AND,0.0,,78606140.0,
Angola,1986,,,AGO,84660.0,25.78,78606140.0,8000.0
Antigua and Barbuda,1986,,,ATG,2400.0,54.79,78606140.0,
Arab World,1986,,,,1420378.53637695,,78606140.0,
Argentina,1986,,,ARG,422424.0,5.76,78606140.0,9075.0
Aruba,1986,,,ABW,700.0,,78606140.0,
Australia,1986,,,AUS,183734.0,17.71,78606140.0,3647.0
Austria,1986,,,AUT,640.0,7.26,78606140.0,4700.0
Bahamas,1986,,,BHS,8653.8994140625,22.4,78606140.0,30.0
Bahrain,1986,,,BHR,8057.0,,78606140.0,
Bangladesh,1986,,,BGD,648468.0,7.89,78606140.0,646494.0
Barbados,1986,,,BRB,4112.0,30.69,78606140.0,0.0
Belgium,1986,,,BEL,39466.0,,78606140.0,
Belize,1986,,,BLZ,1838.0,7.54,78606140.0,4.0
Benin,1986,,,BEN,38738.0,10.63,78606140.0,31439.0
Bermuda,1986,,,BMU,820.0,46.13,78606140.0,
Bhutan,1986,,,BTN,120.0,,78606140.0,
Bolivia,1986,,,BOL,3871.0,0.99,78606140.0,2776.0
Botswana,1986,,,BWA,1700.0,2.97,78606140.0,1700.0
Brazil,1986,,,BRA,946560.0,7.26,78606140.0,213562.0
British Virgin Islands,1986,,,VGB,543.0,,78606140.0,
Brunei,1986,,,BRN,4106.0,38.22,78606140.0,96.0
Bulgaria,1986,,,BGR,97314.0,8.53,78606140.0,14487.0
Burkina Faso,1986,,,BFA,7600.0,1.81,78606140.0,7630.0
Burundi,1986,,,BDI,11840.0,,78606140.0,
Cambodia,1986,,,KHM,71451.0,9.13,78606140.0,66381.0
Cameroon,1986,,,CMR,71980.0,14.24,78606140.0,20124.0
Canada,1986,,,CAN,1561523.0,21.62,78606140.0,159146.0
Cape Verde,1986,,,CPV,7335.0,17.59,78606140.0,
Caribbean Small States,1986,,,,135400.899414063,,78606140.0,
Cayman Islands,1986,,,CYM,478.0,,78606140.0,
Central African Republic,1986,,,CAF,13000.0,5.49,78606140.0,13193.0
Central Europe and the Baltics,1986,,,,966362.0,,78606140.0,
Chad,1986,,,TCD,60000.0,3.28,78606140.0,60000.0
Channel Islands,1986,,,OWID_CIS,2318.0,,78606140.0,
Chile,1986,,,CHL,5685596.0,15.0,78606140.0,2151.0
China,1986,,,CHN,4810254.0,7.7,78606140.0,3383439.0
Colombia,1986,,,COL,82474.4765625,3.7,78606140.0,55983.0
Comoros,1986,,,COM,9970.0,,78606140.0,
Congo,1986,,,COG,31992.0,35.33,78606140.0,14091.0
Costa Rica,1986,,,CRI,22951.0,6.1,78606140.0,383.0
Cote d'Ivoire,1986,,,CIV,103435.0,19.57,78606140.0,26810.0
Cuba,1986,,,CUB,239932.296875,20.28,78606140.0,15839.0
Cyprus,1986,,,CYP,2541.38793945313,12.7,78606140.0,56.0
Democratic Republic of Congo,1986,,,COD,155825.0,,78606140.0,
Denmark,1986,,,DNK,1825356.0,21.64,78606140.0,28609.0
Djibouti,1986,,,DJI,409.0,1.85,78606140.0,
Dominica,1986,,,DMA,644.0,18.53,78606140.0,0.0
Dominican Republic,1986,,,DOM,16988.099609375,8.84,78606140.0,846.0
Early-demographic dividend,1986,,,,19440668.3742676,,78606140.0,
East Asia & Pacific,1986,,,,29939253.4121094,,78606140.0,
East Asia & Pacific (IDA & IBRD),1986,,,,13486778.5996094,,78606140.0,
East Asia & Pacific (excluding high income),1986,,,,14258677.5996094,,78606140.0,
Ecuador,1986,,,ECU,959932.0,9.1,78606140.0,900.0
Egypt,1986,,,EGY,183653.96875,6.85,78606140.0,181813.0
El Salvador,1986,,,SLV,19686.0,2.9,78606140.0,1865.0
Equatorial Guinea,1986,,,GNQ,4400.0,,78606140.0,
Eswatini,1986,,,SWZ,82.0,0.14,78606140.0,100.0
Ethiopia,1986,,,ETH,4100.0,,78606140.0,
Euro area,1986,,,,4144069.01293945,,78606140.0,
Europe & Central Asia,1986,,,,12776007.1506348,,78606140.0,
Europe & Central Asia (IDA & IBRD),1986,,,,1536910.13769531,,78606140.0,
Europe & Central Asia (excluding high income),1986,,,,910509.137695313,,78606140.0,
European Union,1986,,,,7146769.01293945,19.11,78606140.0,478117.0
Faeroe Islands,1986,,,FRO,351596.0,,78606140.0,
Fiji,1986,,,FJI,26440.400390625,40.73,78606140.0,95.0
Finland,1986,,,FIN,156544.0,30.75,78606140.0,77094.0
Fragile and conflict affected situations,1986,,,,2032424.31762695,,78606140.0,
France,1986,,,FRA,716702.5625,27.76,78606140.0,43955.0
French Polynesia,1986,,,PYF,2232.0,32.34,78606140.0,0.0
Gabon,1986,,,GAB,20223.0,40.26,78606140.0,1982.0
Gambia,1986,,,GMB,13262.0,16.46,78606140.0,2712.0
Germany,1986,,,DEU,345153.0,11.97,78606140.0,52765.0
Ghana,1986,,,GHA,319818.0,25.09,78606140.0,60232.0
Gibraltar,1986,,,GIB,1.0,,78606140.0,
Greece,1986,,,GRC,122552.0,18.48,78606140.0,10325.0
Greenland,1986,,,GRL,125043.0,,78606140.0,
Grenada,1986,,,GRD,2296.0,33.42,78606140.0,0.0
Guam,1986,,,GUM,425.0,,78606140.0,
Guatemala,1986,,,GTM,2119.0,0.24,78606140.0,194.0
Guinea,1986,,,GIN,33000.0,9.11,78606140.0,2502.0
Guinea-Bissau,1986,,,GNB,3700.0,3.95,78606140.0,80.0
Guyana,1986,,,GUY,94415.0,46.12,78606140.0,812.0
Haiti,1986,,,HTI,6000.0,4.26,78606140.0,300.0
Heavily indebted poor countries (HIPC),1986,,,,2303753.0,,78606140.0,
High income,1986,,,,40138693.7248535,,78606140.0,
Honduras,1986,,,HND,22188.0,2.83,78606140.0,186.0
Hong Kong,1986,,,HKG,204436.0,52.76,78606140.0,5278.0
Hungary,1986,,,HUN,19065.0,4.56,78606140.0,36062.0
IBRD only,1986,,,,34401486.8818359,,78606140.0,
IDA & IBRD total,1986,,,,39285648.5998535,,78606140.0,
IDA blend,1986,,,,1011443.40039063,,78606140.0,
IDA only,1986,,,,3872718.31762695,,78606140.0,
IDA total,1986,,,,4884161.71801758,,78606140.0,
Iceland,1986,,,ISL,1668631.0,90.3,78606140.0,884.0
India,1986,,,IND,2321273.0,3.19,78606140.0,1230144.0
Indonesia,1986,,,IDN,2196212.0,14.14,78606140.0,564904.0
Iran,1986,,,IRN,133381.0,2.24,78606140.0,29324.0
Iraq,1986,,,IRQ,16000.0,1.29,78606140.0,15564.0
Ireland,1986,,,IRL,248878.0,16.96,78606140.0,3710.0
Isle of Man,1986,,,IMN,5778.0,,78606140.0,
Israel,1986,,,ISR,12857.0,20.69,78606140.0,13330.0
Italy,1986,,,ITA,457244.4375,19.01,78606140.0,39665.0
Jamaica,1986,,,JAM,9813.0,19.27,78606140.0,1892.0
Japan,1986,,,JPN,11505643.0,70.06,78606140.0,338052.0
Jordan,1986,,,JOR,202.0,3.13,78606140.0,265.0
Kenya,1986,,,KEN,120244.0,5.79,78606140.0,113648.0
Kiribati,1986,,,KIR,29271.0,70.15,78606140.0,173.0
Kuwait,1986,,,KWT,7630.0,12.43,78606140.0,252.0
Kyrgyzstan,1986,,,KGZ,,,78606140.0,
Laos,1986,,,LAO,21000.0,6.87,78606140.0,26000.0
Late-demographic dividend,1986,,,,20368308.5129395,,78606140.0,
Latin America & Caribbean,1986,,,,16125991.5224609,,78606140.0,
Latin America & Caribbean (IDA & IBRD),1986,,,,15864047.3261719,,78606140.0,
Latin America & Caribbean (excluding high income),1986,,,,9978872.62304688,,78606140.0,
Least developed countries: UN classification,1986,,,,3342276.38671875,,78606140.0,
Lebanon,1986,,,LBN,1500.0,0.7,78606140.0,375.0
Lesotho,1986,,,LSO,0.0,2.01,78606140.0,25.0
Liberia,1986,,,LBR,16053.0,14.76,78606140.0,4073.0
Libya,1986,,,LBY,17947.0,,78606140.0,
Liechtenstein,1986,,,LIE,0.0,,78606140.0,
Low & middle income,1986,,,,33541429.8967285,,78606140.0,
Low income,1986,,,,1740083.9309082,,78606140.0,
Lower middle income,1986,,,,11945802.4921875,,78606140.0,
Luxembourg,1986,,,LUX,0.0,,78606140.0,
Macao,1986,,,MAC,8042.0,32.93,78606140.0,
Madagascar,1986,,,MDG,84247.0,7.78,78606140.0,40000.0
Malawi,1986,,,MWI,73170.0,9.46,78606140.0,72852.0
Malaysia,1986,,,MYS,770663.3125,45.03,78606140.0,21809.0
Maldives,1986,,,MDV,59964.0,125.7,78606140.0,
Mali,1986,,,MLI,61002.0,7.93,78606140.0,61012.0
Malta,1986,,,MLT,1168.0,14.6,78606140.0,0.0
Marshall Islands,1986,,,MHL,220.0,,78606140.0,
Mauritania,1986,,,MRT,76614.0,8.9,78606140.0,6000.0
Mauritius,1986,,,MUS,12849.0,14.67,78606140.0,4.0
Mexico,1986,,,MEX,1343933.75,9.64,78606140.0,108203.0
Micronesia (country),1986,,,FSM,3864.0,,78606140.0,
Middle East & North Africa,1986,,,,1438603.53637695,,78606140.0,
Middle East & North Africa (IDA & IBRD),1986,,,,1185739.53637695,,78606140.0,
Middle East & North Africa (excluding high income),1986,,,,1185739.53637695,,78606140.0,
Middle income,1986,,,,31801345.9658203,,78606140.0,
Monaco,1986,,,MCO,2.0,,78606140.0,
Mongolia,1986,,,MNG,412.0,1.4,78606140.0,412.0
Morocco,1986,,,MAR,600413.0,9.87,78606140.0,1689.0
Mozambique,1986,,,MOZ,42678.0,3.84,78606140.0,3772.0
Myanmar,1986,,,MMR,680718.0,15.58,78606140.0,151357.0
Namibia,1986,,,NAM,14923.0,10.65,78606140.0,923.0
Nauru,1986,,,NRU,150.0,,78606140.0,
Nepal,1986,,,NPL,5281.0,0.56,78606140.0,9443.0
Netherlands,1986,,,NLD,416381.0,10.72,78606140.0,4768.0
New Caledonia,1986,,,NCL,4459.0,19.54,78606140.0,
New Zealand,1986,,,NZL,208170.0,12.28,78606140.0,2169.0
Nicaragua,1986,,,NIC,2465.0,0.35,78606140.0,56.0
Niger,1986,,,NER,2337.0,0.45,78606140.0,2345.0
Nigeria,1986,,,NGA,266117.0,5.91,78606140.0,107076.0
North America,1986,,,,6472819.0,,78606140.0,
North Korea,1986,,,PRK,773000.0,35.38,78606140.0,59100.0
Northern Mariana Islands,1986,,,MNP,311.0,,78606140.0,
Norway,1986,,,NOR,2046531.0,42.53,78606140.0,50344.0
OECD members,1986,,,,40183838.7890625,,78606140.0,
Oman,1986,,,OMN,96353.0,,78606140.0,
Other small states,1986,,,,1842795.38793945,,78606140.0,
Pacific island small states,1986,,,,141368.787109375,,78606140.0,
Pakistan,1986,,,PAK,409466.0,1.97,78606140.0,86573.0
Palau,1986,,,PLW,1132.0,,78606140.0,
Palestine,1986,,,PSE,,,78606140.0,
Panama,1986,,,PAN,144731.0,14.91,78606140.0,646.0
Papua New Guinea,1986,,,PNG,54686.0,,78606140.0,
Paraguay,1986,,,PRY,13000.0,3.45,78606140.0,13000.0
Peru,1986,,,PER,5614630.0,26.57,78606140.0,33294.0
Philippines,1986,,,PHL,1629213.5,33.38,78606140.0,338478.0
Poland,1986,,,POL,626401.0,13.35,78606140.0,33515.0
Portugal,1986,,,PRT,402853.0,55.38,78606140.0,1886.0
Post-demographic dividend,1986,,,,30489821.921875,,78606140.0,
Pre-demographic dividend,1986,,,,2337999.0,,78606140.0,
Puerto Rico,1986,,,PRI,1327.0,,78606140.0,
Qatar,1986,,,QAT,1980.0,,78606140.0,
Romania,1986,,,ROU,223582.0,8.56,78606140.0,66887.0
Russia,1986,,,RUS,,,78606140.0,
Rwanda,1986,,,RWA,1485.0,0.31,78606140.0,1546.0
Saint Kitts and Nevis,1986,,,KNA,901.0,34.14,78606140.0,0.0
Saint Lucia,1986,,,LCA,840.0,14.53,78606140.0,0.0
Saint Vincent and the Grenadines,1986,,,VCT,601.0,9.12,78606140.0,0.0
Samoa,1986,,,WSM,3186.0,35.44,78606140.0,0.0
San Marino,1986,,,SMR,0.0,,78606140.0,
Sao Tome and Principe,1986,,,STP,2833.0,29.59,78606140.0,
Saudi Arabia,1986,,,SAU,45498.0,7.19,78606140.0,26.0
Senegal,1986,,,SEN,257904.0,22.23,78606140.0,21249.0
Seychelles,1986,,,SYC,4542.0,,78606140.0,
Sierra Leone,1986,,,SLE,52213.0,15.94,78606140.0,16624.0
Singapore,1986,,,SGP,20157.0,,78606140.0,
Small states,1986,,,,2119565.07446289,,78606140.0,
Solomon Islands,1986,,,SLB,56743.38671875,54.81,78606140.0,0.0
Somalia,1986,,,SOM,18655.0,,78606140.0,
South Africa,1986,,,ZAF,853342.0,8.0,78606140.0,1373.0
South Asia,1986,,,,3628940.0,,78606140.0,
South Asia (IDA & IBRD),1986,,,,3628940.0,,78606140.0,
South Korea,1986,,,KOR,2708406.0,49.86,78606140.0,63815.0
Spain,1986,,,ESP,1233945.625,34.44,78606140.0,23706.0
Sri Lanka,1986,,,LKA,183568.0,14.48,78606140.0,31420.0
Sub-Saharan Africa,1986,,,,3583233.0,,78606140.0,
Sub-Saharan Africa (IDA & IBRD),1986,,,,3583233.0,,78606140.0,
Sub-Saharan Africa (excluding high income),1986,,,,3578691.0,,78606140.0,
Sudan,1986,,,SDN,23942.0,,78606140.0,
Suriname,1986,,,SUR,4540.0,5.69,78606140.0,109.0
Sweden,1986,,,SWE,210982.0,26.43,78606140.0,10365.0
Switzerland,1986,,,CHE,4386.0,11.8,78606140.0,4657.0
Syria,1986,,,SYR,2732.93090820313,,78606140.0,
Tanzania,1986,,,TZA,313968.0,13.74,78606140.0,265770.0
Thailand,1986,,,THA,2407927.0,19.73,78606140.0,183596.0
Timor,1986,,,TLS,,0.0,78606140.0,0.0
Togo,1986,,,TGO,14824.0,9.89,78606140.0,3550.0
Tonga,1986,,,TON,2814.0,,78606140.0,
Trinidad and Tobago,1986,,,TTO,4347.0,15.35,78606140.0,0.0
Tunisia,1986,,,TUN,91220.8359375,10.65,78606140.0,268.0
Turkey,1986,,,TUR,579855.9375,8.36,78606140.0,37508.0
Turks and Caicos Islands,1986,,,TCA,5266.0,,78606140.0,
Tuvalu,1986,,,TUV,660.0,,78606140.0,
Uganda,1986,,,UGA,197600.0,13.02,78606140.0,197635.0
Ukraine,1986,,,UKR,0.0,,78606140.0,
United Arab Emirates,1986,,,ARE,79321.0,20.56,78606140.0,26.0
United Kingdom,1986,,,GBR,836507.0,17.92,78606140.0,24534.0
United States,1986,,,USA,4910476.0,18.86,78606140.0,558366.0
United States Virgin Islands,1986,,,VIR,932.0,,78606140.0,
Upper middle income,1986,,,,19855543.4736328,,78606140.0,
Uruguay,1986,,,URY,147139.0,3.85,78606140.0,750.0
Uzbekistan,1986,,,UZB,,,78606140.0,
Vanuatu,1986,,,VUT,16888.0,37.47,78606140.0,0.0
Venezuela,1986,,,VEN,284724.0,11.46,78606140.0,20241.0
Vietnam,1986,,,VNM,702873.0,12.16,78606140.0,220810.0
World,1986,,,OWID_WRL,84935065.919,12.95,78606140.0,12056257.0
Yemen,1986,,,YEM,73018.0,5.79,78606140.0,
Zambia,1986,,,ZMB,56229.0,8.0,78606140.0,56924.0
Zimbabwe,1986,,,ZWE,18802.0,2.15,78606140.0,18942.0
Africa,1986,,,,,7.76,78606140.0,1456205.0
Americas,1986,,,,,12.94,78606140.0,1200609.0
Asia,1986,,,,,11.27,78606140.0,7679437.0
Australia & New Zealand,1986,,,,,16.78,78606140.0,5816.0
Belgium-Luxembourg,1986,,,,,20.1,78606140.0,1028.0
Caribbean,1986,,,,,13.75,78606140.0,18907.0
Central America,1986,,,,,8.0,78606140.0,111537.0
Czechoslovakia,1986,,,OWID_CZS,,6.79,78606140.0,25534.0
Eastern Africa,1986,,,,,5.75,78606140.0,774593.0
Eastern Asia,1986,,,,,15.84,78606140.0,4004236.0
Eastern Europe,1986,,,,,25.13,78606140.0,1301360.0
Ethiopia PDR,1986,,,,,0.1,78606140.0,3500.0
Europe,1986,,,,,22.54,78606140.0,1713922.0
"Europe, Western",1986,,,,,17.2,78606140.0,111873.0
Land Locked Developing Countries,1986,,,,,4.26,78606140.0,546505.0
Least Developed Countries,1986,,,,,7.53,78606140.0,1806344.0
Low Income Food Deficit Countries,1986,,,,,4.85,78606140.0,3220214.0
Melanesia,1986,,,OWID_MNS,,40.86,78606140.0,95.0
Micronesia (region),1986,,,,,70.15,78606140.0,173.0
Middle Africa,1986,,,,,17.31,78606140.0,117390.0
